Primary_Key	School Number	School Year	School Name	Official School Name	LEA Number	LEA Name	Name Prefix Description	Principal First Name	Principal Middle Name	Principal Last Name	Principal Name Suffix	Address Line1	Address Line2	City	State	Zip Code 5	Zip Code 4	Phone Office Area	Phone Office Exch	Phone Office Line	Phone Fax Area	Phone Fax Exch	Phone Fax Line 	Mailing Address Line1	Mailing Address Line2	Mailing City	Mailing State	Mailing Zip Code 5	Mailing Zip Code 4	URL School Address	Sch Operational Status	Sch Operational Status Desc	Opening Effective Date	Closing Date	School Type	School Type Desc	School Program Type	School Program Type Desc	Grade Level Current	Grade Level Approved	Grade Level First Year	Title I	School Calendar Type	School Calendar Description	Extended Hours	School Schedule Type	School Schedule Type Desc	School Designation Type	School Designation Desc	Virtual Status	SBE Region	SBE Region Names	Accreditation Status	Accreditation Status Desc	Federal School Number	College Board Number	School Membership	School Year For Sch Membership	School Teacher Count	School Year For Teachers	Cooperative Innovative HS	Cooperative MMYYYY SBE Approve	First Yr Est ADM	First Yr Est Paid Teacher FTE	Newly Constructed Facility	Occupancy Date	What Facility Will Sch Occupy	Share Space	Share Space Describe	New Sch Population From	List Of Closing Schools	County Code	County Description	Opening In School Year	Locale Type	Locale Type Desc	School Closings?	School Systartstatus	Record Created Timestamp	Record Created By	Last Changed Timestamp	Last Changed By
00A0002019	00A000	2019	NC Connections Academy	North Carolina Connections Academy	00A	NC Connections Academy	Dr	Nathan	-	Currie	-	2800 Meridian Parkway	Suite 150	Durham	NC	27713	-	919	224	4040	919	361	6321	-	-	-	-	-	-	http://www.connectionsacademy.com/north-carolina-virtual-school/home.aspx	1	Open	01-JUL-15	-	R	Regular School	N	None	KG:01:02:03:04:05:06:07:08:09:10:11:12	KG:01:02:03:04:05:06:07:08:09:10:11:12	KG:01:02:03:04:05:06:07:08:09	-	T	Traditional	-	B	Block	C	Charter	FULLVIRTUAL	3	North Central	-	-	370038603361	341070	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	032	Durham	2016	12	City, Midsize	-	-	03-11-2015 12:00AM	nicola_lefler	10-30-2018 07:13AM	liz_marsh
00B0002019	00B000	2019	NC Virtual Academy	NC Virtual Academy	00B	NC Virtual Academy	-	Joel	-	Medley	-	4220 NC Highway 55	Suite 130	Durham	NC	27713	-	919	346	0121	919	324	6597	-	-	-	-	-	-	http://ncva.k12.com/	1	Open	01-JUL-15	-	R	Regular School	N	None	KG:01:02:03:04:05:06:07:08:09:10:11:12	KG:01:02:03:04:05:06:07:08:09:10:11:12	KG:01:02:03:04:05:06:07:08:09:10	-	T	Traditional	-	S	Semester	C	Charter	FULLVIRTUAL	3	North Central	-	-	370039803362	341071	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	032	Durham	2016	41	Rural, Fringe	-	-	03-11-2015 12:00AM	nicola_lefler	04-02-2018 10:12AM	nicola_lefler
0103032019	010303	2019	ABSS Early College at ACC	ABSS Early College at ACC	010	Alamance-Burlington Schools	Ms	Bonnie 	-	Roane	-	1247 Jimmie Kerr Road	-	Graham	NC	27253	-	336	506	4001	336	506	4004	PO Box 8000	-	Graham	NC	27253	-	http://amc.abss.k12.nc.us	1	Open	02-JAN-06	-	R	Regular School	C	Cooperative Innovative High School	09:10:11:12:13	09:10:11:12:13	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	-	-	370003002972	341546	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	08-14-2018 04:48PM	iris_scott
0103042019	010304	2019	Alexander Wilson Elementary	Alexander Wilson Elementary	010	Alamance-Burlington Schools	Ms	Ashley	-	Westmoreland	-	2518 NC 54	-	Graham	NC	27253	-	336	578	1366	336	578	8092	-	-	-	-	-	-	http://awe.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000001	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:22PM	amy_richardson
0103082019	010308	2019	Altamahaw-Ossipee Elementary	Altamahaw-Ossipee Elementary	010	Alamance-Burlington Schools	Ms	Kristen	-	Saunders-Rivera	-	2832 N NC 87	-	Elon	NC	27244	-	336	538	6030	336	538	6032	-	-	-	-	-	-	http://aoe.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	KG:01:02:03:04:05	KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000002	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	08-20-2018 03:58PM	iris_scott
0103102019	010310	2019	Broadview Middle	Broadview Middle	010	Alamance-Burlington Schools	Mr	Patrick	-	Battle	-	2229 Broadview Drive	-	Burlington	NC	27217	4303	336	570	6195	336	570	6202	-	-	-	-	-	-	http://brm.abss.k12.nc.us/	1	Open	30-JUN-96	-	R	Regular School	N	None	06:07:08	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000196	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0103112019	010311	2019	Career and Technical Education Center	Career and Technical Education Center	010	Alamance-Burlington Schools	Dr	Darrelll	-	Thomas	-	2550 Buckingham Road	-	Burlington	NC	27217	-	336	570	6092	336	570	6093	-	-	-	-	-	-	-	1	Open	24-JAN-12	-	V	Vocational Education	N	None	09:10:11:12	09:10:11:12	09:10:11:12	-	-	-	-	-	-	P	Public	NOTVIRTUAL	5	Piedmont Triad	-	-	370003003171	-	-	-	-	-	N	-	0	15	Y	15-AUG-11	-	N	-	All high schools	-	001	Alamance	2011	41	Rural, Fringe	N	-	04-28-2010 02:36PM	nicola_lefler	08-20-2018 03:54PM	iris_scott
0103122019	010312	2019	Highland Elementary	Highland Elementary	010	Alamance-Burlington Schools	Ms	Hollis	-	Wroblewski	-	3720 Bonnar Bridge Parkway	-	Burlington	NC	27215	-	336	538	8700	336	538	8705	-	-	-	-	-	-	http://hle.abss.k12.nc.us	1	Open	02-JUL-07	-	R	Regular School	N	None	KG:01:02:03:04:05	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	-	-	370003002838	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0103202019	010320	2019	E M Yoder Elementary	E M Yoder Elementary	010	Alamance-Burlington Schools	Dr	Leslie	-	Eldreth	-	301 N Charles Street	-	Mebane	NC	27302	2328	919	563	3722	919	563	9079	-	-	-	-	-	-	http://eye.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000005	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:23PM	amy_richardson
0103242019	010324	2019	Eastern Alamance High	Eastern Alamance High	010	Alamance-Burlington Schools	Dr	Diane	-	Hill	-	4040 Mebane Rogers	-	Mebane	NC	27302	9729	919	563	5991	919	563	6114	-	-	-	-	-	-	http://eah.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	09:10:11:12	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000006	342575	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0103262019	010326	2019	Eastlawn Elementary	Eastlawn Elementary	010	Alamance-Burlington Schools	Mr	Daniel	-	McInnis	-	502 N Graham Hopedale Road	-	Burlington	NC	27217	2945	336	570	6180	336	570	6204	-	-	-	-	-	-	http://eae.abss.k12.nc.us	1	Open	30-JUN-96	-	R	Regular School	N	None	P3:PK:KG:01:02:03:04:05	-	-	-	Y	Year Round	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000197	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	09-26-2014 08:49AM	iris_scott
0103282019	010328	2019	Edwin M Holt Elementary	Edwin M Holt Elementary	010	Alamance-Burlington Schools	Ms	Mariah	-	Vignali	-	4751 S NC 62	-	Burlington	NC	27215	-	336	570	6420	336	570	6429	-	-	-	-	-	-	http://ehe.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	KG:01:02:03:04:05	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000007	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0103402019	010340	2019	Elon Elementary	Elon Elementary	010	Alamance-Burlington Schools	Mr	Jack	-	Davern	-	510 E Haggard Avenue	-	Elon	NC	27244	9304	336	538	6000	336	538	6003	-	-	-	-	-	-	http://ece.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	KG:01:02:03:04:05	KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000008	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:23PM	amy_richardson
0103462019	010346	2019	B. Everett Jordan Elementary	B. Everett Jordan Elementary	010	Alamance-Burlington Schools	Ms	Terri	-	Drummond	-	5827 Church Road	-	Graham	NC	27253	9145	336	376	3673	336	376	6243	-	-	-	-	-	-	http://bje.abss.k12.nc.us	1	Open	30-JUN-96	-	R	Regular School	N	None	KG:01:02:03:04:05	KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	08-20-2018 03:56PM	iris_scott
0103472019	010347	2019	Audrey W. Garrett Elementary	Audrey W.Garrett Elementary	010	Alamance-Burlington Schools	Ms	Michelle	-	Ammann	-	3224 Old Hillsborough Road	-	Mebane	NC	27302	-	919	563	2088	919	304	5384	-	-	-	-	-	-	http://age.abss.k12.nc.us	1	Open	30-JUN-00	-	R	Regular School	N	None	P3:PK:KG:01:02:03:04:05	P3:PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003002501	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 12:00AM	EDDIE	08-20-2018 03:58PM	iris_scott
0103482019	010348	2019	Graham High	Graham High	010	Alamance-Burlington Schools	Ms	Charlotte 	-	Holmes	-	903 Trollinger Road	-	Graham	NC	27253	1945	336	570	6440	336	570	6446	-	-	-	-	-	-	http://grh.abss.k12.nc.us/	1	Open	30-JUN-90	-	R	Regular School	N	None	09:10:11:12	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000009	341560	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0103502019	010350	2019	Graham Middle	Graham Middle	010	Alamance-Burlington Schools	Ms	Michelle	-	Hayes	-	311 E Pine Street	-	Graham	NC	27253	3226	336	570	6460	336	570	6464	-	-	-	-	-	-	http://grm.abss.k12.nc.us/	1	Open	30-JUN-90	-	R	Regular School	N	None	06:07:08	-	-	-	Y	Year Round	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000010	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0103512019	010351	2019	Grove Park Elementary	Grove Park Elementary	010	Alamance-Burlington Schools	Ms	Traci	-	Horton	-	141 Trail One	-	Burlington	NC	27215	5531	336	570	6115	336	570	6205	-	-	-	-	-	-	http://gpe.abss.k12.nc.us	1	Open	30-JUN-96	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000199	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:24PM	amy_richardson
0103532019	010353	2019	Hawfields Middle	Hawfields Middle	010	Alamance-Burlington Schools	Mr	Greg	-	Hook	-	1951 S NC 119	-	Mebane	NC	27302	-	919	563	5303	919	563	1351	-	-	-	-	-	-	http://ham.abss.k12.nc.us	1	Open	30-JUN-01	-	R	Regular School	N	None	06:07:08	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003002566	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0103542019	010354	2019	Harvey R Newlin Elementary	Harvey R Newlin Elementary	010	Alamance-Burlington Schools	Mr	Larry	-	Conte	-	316 Carden Street	-	Burlington	NC	27215	7305	336	570	6125	336	570	6207	-	-	-	-	-	-	http://hne.abss.k12.nc.us/	1	Open	30-JUN-96	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000200	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:24PM	amy_richardson
0103572019	010357	2019	Haw River Elementary	Haw River Elementary	010	Alamance-Burlington Schools	-	Curry	-	Bryan	-	701 E Main Street	-	Haw River	NC	27258	9644	336	578	0177	336	578	8336	-	-	-	-	-	-	http://hre.abss.k12.nc.us	1	Open	30-JUN-96	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	Y	Year Round	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000011	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:24PM	amy_richardson
0103582019	010358	2019	Hillcrest Elementary	Hillcrest Elementary	010	Alamance-Burlington Schools	Dr	Jennifer 	-	Reed	-	1714 W Davis Street	-	Burlington	NC	27215	3841	336	570	6120	336	570	6206	-	-	-	-	-	-	http://hie.abss.k12.nc.us/	1	Open	30-JUN-96	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000201	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:25PM	amy_richardson
0103602019	010360	2019	Hugh M Cummings High	Hugh M Cummings High	010	Alamance-Burlington Schools	Ms	LaTasha	-	Fonville	-	2200 N Mebane Street	-	Burlington	NC	27217	4332	336	570	6100	336	570	6107	-	-	-	-	-	-	http://hch.abss.k12.nc.us/	1	Open	30-JUN-96	-	R	Regular School	N	None	09:10:11:12	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000202	340508	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0103622019	010362	2019	Marvin B Smith Elementary	Marvin B Smith Elementary	010	Alamance-Burlington Schools	Ms	Julie	-	Hancock	-	2235 Delaney Drive	-	Burlington	NC	27215	5120	336	570	6140	336	570	6209	-	-	-	-	-	-	http://mse.abss.k12.nc.us/	1	Open	30-JUN-96	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000203	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:25PM	amy_richardson
0103642019	010364	2019	North Graham Elementary	North Graham Elementary	010	Alamance-Burlington Schools	Ms	Nancy	-	Cothren	-	1025 Trollinger Road	-	Graham	NC	27253	1947	336	578	2272	336	578	8335	-	-	-	-	-	-	http://nge.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	P2:P3:PK:KG:01:02:03:04:05	P2:P3:PK:KG:01:02:03:04:05	-	-	Y	Year Round	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000012	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:26PM	amy_richardson
0103722019	010372	2019	Pleasant Grove Elementary	Pleasant Grove Elementary	010	Alamance-Burlington Schools	Mr	Scott	-	Lewis	-	2847 Pleasant Grv Sch Road	-	Burlington	NC	27217	7750	336	421	3701	336	421	9844	-	-	-	-	-	-	http://pge.abss.k12.nc.us/	1	Open	30-JUN-90	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000013	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:26PM	amy_richardson
0103742019	010374	2019	R Homer Andrews Elementary	R Homer Andrews Elementary	010	Alamance-Burlington Schools	Ms	Sabre	-	Robinson	-	2630 Buckingham Road	-	Burlington	NC	27217	3252	336	570	6170	336	570	6201	-	-	-	-	-	-	http://rae.abss.k12.nc.us/	1	Open	30-JUN-96	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000204	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:27PM	amy_richardson
0103782019	010378	2019	Ray Street Academy	Ray Street Academy	010	Alamance-Burlington Schools	-	Michael	-	Bayless	-	609 Ray Street	-	Graham	NC	27253	-	336	570	6644	336	570	6353	-	-	-	-	-	-	http://.abss.k12.nc.us	1	Open	30-JUN-96	-	A	Alternative Education	N	None	KG:01:02:03:04:05:06:07:08:09:10:11:12	KG:01:02:03:04:05:06:07:08:09:10:11:12	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	-	-	370003002153	340517	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	04-06-2016 09:23AM	iris_scott
0103802019	010380	2019	South Graham Elementary	South Graham Elementary	010	Alamance-Burlington Schools	Ms	Elizabeth	-	Price	-	320 Ivey Road	-	Graham	NC	27253	3723	336	570	6520	336	570	6521	-	-	-	-	-	-	http://sge.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	P2:P3:PK:KG:01:02:03:04:05	P2:P3:PK:KG:01:02:03:04:05	-	-	Y	Year Round	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000014	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	03-02-2018 09:33AM	amy_richardson
0103842019	010384	2019	South Mebane Elementary	South Mebane Elementary	010	Alamance-Burlington Schools	Ms	Rebecca	-	Royal	-	600 S 3rd Street	-	Mebane	NC	27302	3120	919	563	6905	919	563	4616	-	-	-	-	-	-	http://sme.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	KG:01:02:03:04:05	KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000015	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:27PM	amy_richardson
0103882019	010388	2019	Southern Alamance High	Southern Alamance High	010	Alamance-Burlington Schools	Ms	Teresa	-	Faucette	-	631 Southern High Road	-	Graham	NC	27253	9425	336	570	6400	336	570	6404	-	-	-	-	-	-	http://sah.abss.k12.nc.us/	1	Open	30-JUN-90	-	R	Regular School	N	None	09:10:11:12	09:10:11:12	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000016	340505	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	08-20-2018 04:02PM	iris_scott
0103902019	010390	2019	Southern Alamance Middle	Southern Alamance Middle	010	Alamance-Burlington Schools	Ms	Heather	-	Ward	-	771 Southern High Road	-	Graham	NC	27253	9426	336	570	6500	336	570	6504	-	-	-	-	-	-	http://sam.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	06:07:08	06:07:08	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000017	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	08-20-2018 04:03PM	iris_scott
0103922019	010392	2019	Sylvan Elementary	Sylvan Elementary	010	Alamance-Burlington Schools	Mr	Mark	-	Gould	-	7718 Sylvan Road	-	Snow Camp	NC	27349	9504	336	376	3350	336	376	3318	-	-	-	-	-	-	http://sye.abss.k12.nc.us/	1	Open	30-JUN-90	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000018	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:28PM	amy_richardson
0103942019	010394	2019	Turrentine Middle	Turrentine Middle	010	Alamance-Burlington Schools	Mr	Frederick	-	Sellars	-	1710 Edgewood Avenue	-	Burlington	NC	27215	4938	336	570	6150	336	570	6210	-	-	-	-	-	-	http://tum.abss.k12.nc.us/	1	Open	30-JUN-96	-	R	Regular School	N	None	06:07:08	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000206	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0103962019	010396	2019	Walter M Williams High	Walter M Williams High	010	Alamance-Burlington Schools	Ms	Stephanie	-	Hunt	-	1307 S Church Street	-	Burlington	NC	27215	4919	336	570	6161	336	570	6214	-	-	-	-	-	-	http://wwh.abss.k12.nc.us/	1	Open	30-JUN-96	-	R	Regular School	N	None	09:10:11:12	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000207	340520	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0104002019	010400	2019	Western Alamance High	Western Alamance High	010	Alamance-Burlington Schools	Mr	Todd	-	Stephan	-	1731 N NC 87	-	Elon	NC	27244	-	336	538	6020	336	538	6014	-	-	-	-	-	-	http://wah.abss.k12.nc.us/	1	Open	30-JUN-90	-	R	Regular School	N	None	09:10:11:12	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000019	341180	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0104032019	010403	2019	Western Alamance Middle	Western Alamance Middle	010	Alamance-Burlington Schools	Mr	Gregory	-	Holland	-	2100 Eldon Drive	-	Elon	NC	27244	9747	336	538	6010	336	538	6012	-	-	-	-	-	-	http://wam.abss.k12.nc.us/	1	Open	30-JUN-90	-	R	Regular School	N	None	06:07:08	06:07:08	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000020	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	08-20-2018 04:03PM	iris_scott
0104062019	010406	2019	Woodlawn Middle	Woodlawn Middle	010	Alamance-Burlington Schools	Mr	Brian	-	Williams	-	3970 Mebane Rogers Road	-	Mebane	NC	27302	-	919	563	3222	919	563	6807	-	-	-	-	-	-	http://wom.abss.k12.nc.us/	1	Open	30-JUN-96	-	R	Regular School	N	None	06:07:08	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000021	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
01B0002019	01B000	2019	River Mill Academy	River Mill Academy	01B	River Mill Academy	Mr	Jeffrey	-	Dishmon	-	235 Cheeks Lane	-	Graham	NC	27253	-	336	229	0909	336	229	9975	-	-	-	-	-	-	http://www.rivermill-academy.org	1	Open	30-JUN-98	-	R	Regular School	N	None	KG:01:02:03:04:05:06:07:08:09:10:11:12	KG:01:02:03:04:05:06:07:08:09:10:11:12	-	-	T	Traditional	-	S	Semester	C	Charter	NOTVIRTUAL	5	Piedmont Triad	-	-	370005002366	343532	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	23	Suburb, Small	-	1	04-23-2010 02:49PM	EDDIE	09-20-2016 10:49AM	jeff_dishmon
