Primary_Key	School Number	School Year	School Name	Official School Name	LEA Number	LEA Name	Name Prefix Description	Principal First Name	Principal Middle Name	Principal Last Name	Principal Name Suffix	Address Line1	Address Line2	City	State	Zip Code 5	Zip Code 4	Phone Office Area	Phone Office Exch	Phone Office Line	Phone Fax Area	Phone Fax Exch	Phone Fax Line 	Mailing Address Line1	Mailing Address Line2	Mailing City	Mailing State	Mailing Zip Code 5	Mailing Zip Code 4	URL School Address	Sch Operational Status	Sch Operational Status Desc	Opening Effective Date	Closing Date	School Type	School Type Desc	School Program Type	School Program Type Desc	Grade Level Current	Grade Level Approved	Grade Level First Year	Title I	School Calendar Type	School Calendar Description	Extended Hours	School Schedule Type	School Schedule Type Desc	School Designation Type	School Designation Desc	Virtual Status	SBE Region	SBE Region Names	Accreditation Status	Accreditation Status Desc	Federal School Number	College Board Number	School Membership	School Year For Sch Membership	School Teacher Count	School Year For Teachers	Cooperative Innovative HS	Cooperative MMYYYY SBE Approve	First Yr Est ADM	First Yr Est Paid Teacher FTE	Newly Constructed Facility	Occupancy Date	What Facility Will Sch Occupy	Share Space	Share Space Describe	New Sch Population From	List Of Closing Schools	County Code	County Description	Opening In School Year	Locale Type	Locale Type Desc	School Closings?	School Systartstatus	Record Created Timestamp	Record Created By	Last Changed Timestamp	Last Changed By
6403472019	640347	2019	NRM Early College High School	NRM Early College High School	640	Nash-Rocky Mount Schools	Ms	Jennifer	-	Sharpe	-	530 North Old Carriage Road	-	Rocky Mount	NC	27804	-	252	451	2890	252	443	0068	-	-	-	-	-	-	https://www.nrms.k12.nc.us/Page/63	1	Open	30-JUN-02	-	R	Regular School	E	Early College	09:10:11:12:13	09:10:11:12:13	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	3	North Central	-	-	370327002644	343373	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	07-10-2018 10:32AM	robin_griffin
6403482019	640348	2019	Nashville Elementary	Nashville Elementary	640	Nash-Rocky Mount Schools	Mr	Quintin	-	Mangano	-	209 East Virginia Avenue	-	Nashville	NC	27856	1499	252	451	2877	252	459	1135	-	-	-	-	-	-	https://www.nrms.k12.nc.us/Page/29	1	Open	30-JUN-90	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	3	North Central	SA	SACS	370327001349	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	07-10-2018 10:36AM	robin_griffin
6403502019	640350	2019	Northern Nash High	Northern Nash High	640	Nash-Rocky Mount Schools	Mr	Brian	-	Hopkins	-	4230 Green Hills Road	-	Rocky Mount	NC	27804	9805	252	937	9040	252	443	5448	-	-	-	-	-	-	https://www.nrms.k12.nc.us/Domain/31	1	Open	30-JUN-90	-	R	Regular School	N	None	09:10:11:12	09:10:11:12	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	3	North Central	SA	SACS	370327001351	343365	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	07-10-2018 10:38AM	robin_griffin
6403582019	640358	2019	Red Oak Middle	Red Oak Middle	640	Nash-Rocky Mount Schools	Mr	Timothy	-	Mudd	-	3170 Red Oak-Battleboro Road	-	Battleboro	NC	27809	-	252	462	2000	252	451	5510	-	-	-	-	-	-	https://www.nrms.k12.nc.us/Domain/27	1	Open	30-JUN-98	-	R	Regular School	N	None	06:07:08	06:07:08	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	3	North Central	SA	SACS	370327002400	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	07-10-2018 10:43AM	robin_griffin
6403602019	640360	2019	Red Oak Elementary	Red Oak Elementary	640	Nash-Rocky Mount Schools	Ms	Courtney	-	Bissette	-	5603 Red Oak Road	-	Red Oak	NC	27868	-	252	462	2496	252	937	2746	PO Box 70	-	Red Oak	NC	27868	0070	https://www.nrms.k12.nc.us/Domain/19	1	Open	30-JUN-90	-	R	Regular School	N	None	PK:KG:01:02	PK:KG:01:02	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	3	North Central	SA	SACS	370327001352	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	08-08-2018 12:07PM	robin_griffin
6403612019	640361	2019	Rocky Mount High	Rocky Mount High	640	Nash-Rocky Mount Schools	Mr	Daniel	-	Colvin	-	1400 Bethlehem Road	-	Rocky Mount	NC	27803	-	252	937	9050	252	443	6683	-	-	-	-	-	-	https://www.nrms.k12.nc.us/Domain/32	1	Open	30-JUN-92	-	R	Regular School	N	None	09:10:11:12	09:10:11:12	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	3	North Central	SA	SACS	370327000763	343375	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	07-10-2018 10:46AM	robin_griffin
6403622019	640362	2019	Southern Nash Middle	Southern Nash Middle	640	Nash-Rocky Mount Schools	Mrs	Carina	-	Bryant	-	5301 South NC Highway 581	-	Spring Hope	NC	27882	-	252	937	9020	252	478	4861	-	-	-	-	-	-	https://www.nrms.k12.nc.us/Domain/29	1	Open	30-JUN-90	-	R	Regular School	N	None	06:07:08	06:07:08	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	3	North Central	SA	SACS	370327001353	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	07-10-2018 10:51AM	robin_griffin
6403642019	640364	2019	Southern Nash High	Southern Nash High	640	Nash-Rocky Mount Schools	Mr	Hugh	-	Scott	-	6446 Southern Nash High Road	-	Bailey	NC	27807	9766	252	451	8520	252	478	5953	-	-	-	-	-	-	https://www.nrms.k12.nc.us/Page/59	1	Open	30-JUN-90	-	R	Regular School	N	None	09:10:11:12	09:10:11:12	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	3	North Central	SA	SACS	370327001354	340215	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	07-10-2018 10:49AM	robin_griffin
6403762019	640376	2019	Spring Hope Elementary	Spring Hope Elementary	640	Nash-Rocky Mount Schools	-	Craig	-	Tedford	-	401 McLean Street	-	Spring Hope	NC	27882	-	252	451	8530	252	478	4859	-	-	-	-	-	-	https://www.nrms.k12.nc.us/Domain/20	1	Open	30-JUN-90	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	3	North Central	SA	SACS	370327001356	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	07-10-2018 10:52AM	robin_griffin
6403842019	640384	2019	Swift Creek Elementary	Swift Creek Elementary	640	Nash-Rocky Mount Schools	Mrs	Kristen	-	Tedford	-	2420 Swift Creek School Road	-	Whitakers	NC	27891	9729	252	462	2840	252	937	1817	-	-	-	-	-	-	https://www.nrms.k12.nc.us/Domain/21	1	Open	30-JUN-90	-	R	Regular School	N	None	03:04:05	PK:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	3	North Central	SA	SACS	370327001357	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	064	Nash	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	12-03-2018 03:28PM	robin_griffin
