School Name	Address Line1	Address Line2	City	Zip Code 5
City of Medicine Academy	301 Crutchfield Road	-	Durham	27704
Durham's Performance Learning Center	401 North Driver Street	-	Durham	27703
Durham School of the Arts	401 North Duke Street	-	Durham	27701
Hillside High	3727 Fayetteville St	-	Durham	27707
Lakeview School	3507 Dearborn Drive	-	Durham	27704
Middle College HS @ DTCC	1637 Lawson Street	-	Durham	27703
Northern High	117 Tom Wilkinson Road	-	Durham	27712
Riverside High	3218 Rose of Sharon Road	-	Durham	27712
Southern School of Energy and Sustainabi	800 Clayton Road	-	Durham	27703
Hillside New Tech High	3727 Fayetteville St	-	Durham	27707
Voyager Academy	4302 Ben Franklin Blvd	-	Durham	27704
Research Triangle High School	3106 East NC Highway 54	-	Durham	27709
Edgecombe Early College High	2009 West Wilson St	-	Tarboro	27886
North Edgecombe High	7589 NC 33-NW	-	Tarboro	27886
SouthWest Edgecombe High	5912 NC 43 North	-	Pinetops	27864
Tarboro High	1400 Howard Avenue	-	Tarboro	27886
North East Carolina Prep	274 Husky Trail	-	Tarboro	27886
Atkins Academic & Tech High	3605 Old Greensboro Road	-	Winston-Salem	27101
Carver High	3545 Carver School Road	-	Winston Salem	27105
Career Center	910 Highland Court	-	Winston Salem	27101
Carter High School	851 Highland Court	-	Winston Salem	27101
Early College of Forsyth Co	2100 Silas Creek Prky	-	Winston Salem	27103
East Forsyth High	2500 W Mountain Street	-	Kernersville	27284
Robert B Glenn High School	1600 Union Cross Road	-	Kernersville	27284
Main Street Academy	2700 S Main Street	-	Winston-Salem	27127
Homebound/ Hospital Education	2020 E. 12th Street	-	Winston-Salem	27101
Kingswood School	1001 Reynolda Road	-	Winston-Salem	27104
Middle College of Forsyth Cnty	2100 Silas Creek Parkway	-	Winston-Salem	27103
Mount Tabor High School	342 Petree Road	-	Winston Salem	27106
North Forsyth High	5705 Shattalon Drive	-	Winston Salem	27105
Parkland High	1600 Brewer Road	-	Winston Salem	27127
J F Kennedy High	890 E 11th Street	-	Winston Salem	27101
Ronald W Reagan High School	3750 Transou Road	-	Pfafftown	27040
R J Reynolds High	301 N Hawthorne Road	-	Winston Salem	27104
Walkertown High	5240 Sullivantown Road	-	Walkertown	27051
West Forsyth High	1735 Lewisville-Clemmons	-	Clemmons	27012
Winston-Salem Preparatory Acad	1215 North Cameron Avenue	-	Winston-Salem	27101
Quality Education Academy	5012 Lansing Dr	D	Winston-Salem	27105
Carter G Woodson School	437 Goldfloss Street	-	Winston-Salem	27127
NC Leadership Charter Academy	4353 High Point Rd	-	Kernersville	27284
Bunn High	29 Bunn Elem School Road	-	Bunn	27508
Franklin County Early College	8150 NC Highway 56	-	Louisburg	27549
Franklinton High	910 Cedar Creek Road	-	Franklinton	27525
Louisburg High	201 Allen Lane	-	Louisburg	27549
Ashbrook High	2222 S New Hope Road	-	Gastonia	28054
Bessemer City High	119 Yellow Jacket Lane	-	Bessemer City	28016
Gaston Early College High School	201 Hwy 321 South	Lena Sue Beam Bldg	Dallas	28034
Cherryville High	313 Ridge Avenue	-	Cherryville	28021
Warlick Academy	1316 Spencer Mountain Road	-	Gastonia	28054
Stuart W Cramer High	101 Lakewood Rd	-	Belmont	28012
East Gaston High	1744 Lane Road	-	Mount Holly	28120
Webb Street School	1623 N Webb Street	-	Gastonia	28052
Forestview High	5545 Union Road	-	Gastonia	28056
Highland Sch of Technology	1600 N Morris Street	-	Gastonia	28052
Hunter Huss High	1518 Edgefield Avenue	-	Gastonia	28052
North Gaston High	1133 Ratchford Road	-	Dallas	28034
South Point High	906 South Point Road	-	Belmont	28012
Piedmont Community Charter School	119 E. 2nd Avenue	-	Gastonia	28052
Mountain Island Charter School	13440 Lucia-Riverbend Highway	-	Mt. Holly	28120
Gates County Senior High	088 Hwy 158 West	-	Gatesville	27938
Robbinsville High	301 Sweetwater Road	-	Robbinsville	28771
Phoenix Academy	204 Taylor St	-	Oxford	27565
Granville Academy	2642 Philo White Rd	-	Franklinton	27525
Granville Central High	2043 Sanders Rd	-	Stem	27581
Granville Early College High	1552 South Campus Dr	-	Creedmoor	27522
J. F. Webb High	3200 Webb School Rd	-	Oxford	27565
South Granville High	701 N Crescent Dr	-	Creedmoor	27522
JF Webb HS Of Health And Life Sciences	3200 Webb School Rd	-	Oxford	27565
Falls Lake Academy	1701 East Lyon Station Road	-	Creedmoor	27522
Oxford Preparatory	6041 Landis Rd	-	Oxford	27565
Greene Central High	140 School Drive	-	Snow Hill	28580
Greene Early College High	818 Highway 91	-	Snow Hill	28580
T Wingate Andrews High	1920 McGuinn Drive	-	High Point	27265
Middle College High at Bennett	610 Gorrell Street	-	Greensboro	27406
James B Dudley High	1200 Lincoln Street	-	Greensboro	27401
Eastern Guilford High	415 Peeden Drive	-	Gibsonville	27249
Gateway Education Center	3205 East Wendover Aveune	-	Greensboro	27405
GC Middle College High	815 West Market Street	-	Greensboro	27401
Penn-Griffin Schools	825 Washington Street	-	High Point	27260
Grimsley High	801 N Josephine Boyd St.	-	Greensboro	27408
Early College at Guilford	5608 West Friendly Avenue	-	Greensboro	27410
Doris Henderson Newcomers Sch	411 Friendway Road	-	Greensboro	27410
Middle College at GTCC-Greensboro	3505 East Wendover Avenue	-	Greensboro	27405
GTCC Middle College High	601 East Main Street	-	Jamestown	27282
High Point Central High	801 Ferndale Boulevard	-	High Point	27262
Kearns Academy	1710 McGuinn Dr.	-	High Point	27265
Middle College at GTCC-High Point	901 South Main Street	-	High Point	27260
C Joyner Greene Education Center	604 East Main Street	-	Jamestown	27282
Haynes Inman Education Center	200 Haynes Road	-	Jamestown	27282
Middle College at NC A&T	1601 East Market Street	-	Greensboro	27411
Northeast Guilford High	6700 McLeansville Road	-	McLeansville	27301
Northern Guilford High	7101 Spencer Dixon Road	-	Greensboro	27455
Northwest Guilford High	5240 Northwest School Road	-	Greensboro	27409
Page High	201 Alma Pinnix Drive	-	Greensboro	27405
Lucy Ragsdale High	1000 Lucy Ragsdale Drive	-	Jamestown	27282
SCALE School	116 Pisgah Church Road	-	Greensboro	27455
Pruette SCALE Academy	900 English Road	-	High Point	27262
Ben L. Smith High School	2407 South Holden Road	-	Greensboro	27407
Academy at Smith	2225 South Holden Road	-	Greensboro	27407
Southeast Guilford High	4530 Southeast School Road	-	Greensboro	27406
Southern Guilford High	5700 Drake Road	-	Greensboro	27406
Southwest Guilford High	4364 Barrow Road	-	High Point	27265
STEM Early College @ NC A&T SU	402 Laurel Street	-	Greensboro	27411
UNCG Early/Middle College	1408 Walker Avenue	-	Greensboro	27412
Philip J Weaver Ed Center	300 South Spring Street	-	Greensboro	27401
Western Guilford High	409 Friendway Road	-	Greensboro	27410
Triad Math and Science Academy	700 Creek Ridge Rd	-	Greensboro	27406
Cornerstone Charter Academy-CFA	7800 Airport Center Drive	-	Greensboro	27409
College Prep and Leadership Academy	4201 Furniture Avenue	-	Jamestown	27282
Piedmont Classical High School	4100 Yanceyville St	-	Browns Summit	27214
Northwest Halifax Collegiate and Technic	8492 Hwy 48	-	Littleton	27850
Southeast Halifax Collegiate Prep Academ	16683 Hwy 125	-	Halifax	27839
Roanoke Rapids High School	800 Hamilton Street	-	Roanoke Rapids	27870
Roanoke Rapids Early College High	844 Hamilton St	-	Roanoke Rapids	27870
Roanoke Valley Early College	100 College Dr	600 Building	Weldon	27890
Weldon STEM High School Career Academies	415 County Road	-	Weldon	27890
Harnett Early College (HCEC)	660 E Johnson St	-	Dunn	28334
STAR Academy	900 11th Street	-	Lillington	27546
Harnett Central High	2911 Harnett Central Rd	-	Angier	27501
Overhills High	2495 Ray Road	-	Spring Lake	28390
Triton High	215 Maynard Lake Road	-	Erwin	28339
Western Harnett High	10637 NC Hwy 27 West	-	Lillington	27546
Central Haywood High	3215 Broad Street	-	Clyde	28721
Haywood Early College	185 Freedlander Drive	-	Clyde	28721
Pisgah High	1 Black Bear Drive	-	Canton	28716
Tuscola High	564 Tuscola School Rd	-	Waynesville	28786
East Henderson High	150 Eagle Pride Drive	-	East Flat Rock	28726
Hendersonville High	1 Bearcat Boulevard	-	Hendersonville	28791
North Henderson High	35 Fruitland Road	-	Hendersonville	28792
Henderson County Career Academy	300 East Campus Way	-	Flat Rock	28731
West Henderson High	3600 Haywood Road	-	Hendersonville	28791
Henderson County Early College	300 East Campus Way	-	Flat Rock	28731
Hertford County High	1500 W First St	-	Ahoskie	27910
Hertford Co Early College	109 Community College Rd	-	Ahoskie	27910
CS Brown High	102 CSB Dr	-	Winton	27986
Hoke County High	505 S Bethel Road	-	Raeford	28376
J W Turlington School	116 W Prospect Ave	-	Raeford	28376
SandHoke Early College High	1110 East Central Avenue	-	Raeford	28376
Ocracoke School	120 Schoolhouse Rd	-	Ocracoke	27960
Mattamuskeet Early College High	20392 Hwy US 264	-	Swan Quarter	27885
Agriculture and Science Early College	158 Raider Rd	-	Olin	28660
Career Academy and Technical School	350 Old Murdock Rd	-	Troutman	28166
Collaborative College for Technology	500 West Broad Street	-	Statesville	28677
Lake Norman High	186 Doolie Road	-	Mooresville	28117
North Iredell High	156 Raider Road	-	Olin	28660
Pressly School	222 Knox St	-	Statesville	28677
Statesville High	474 N Center St	-	Statesville	28677
Crossroads Arts Sciences Early College	476 N Center St	-	Statesville	28677
South Iredell High	299 Old Mountain Rd	-	Statesville	28677
West Iredell High	213 Warrior Dr	-	Statesville	28677
NF Woods Campus	574 W McLelland Ave	-	Mooresville	28115
Mooresville High School	659 E Center Ave	-	Mooresville	28115
Pine Lake Preparatory	104 Yellow Wood Circle	-	Mooresville	28115
Langtree Charter Academy	154 Foundation Ct	-	Mooresville	28117
Blue Ridge Early College	95 Bobcat Dr	-	Cashiers	28717
Jackson Co Early College	404 College Drive	-	Sylva	28779
Jackson Co Sch of Alternatives	3770 Skyland Drive	-	Sylva	28779
Smoky Mountain High School	100 Smoky Mountain Drive	-	Sylva	28779
Clayton High	600 S Fayetteville St	-	Clayton	27520
Cleveland High	1892 Polenta Rd	-	Clayton	27520
Corinth Holders High	6875 Applewhite Rd	-	Wendell	27591
Johnston Co Early College Academy	245 College Rd	-	Smithfield	27577
North Johnston High	5915 US Hwy 301 N	-	Kenly	27542
Princeton High	101 Dr Donnie H Jones Jr Blvd	-	Princeton	27569
Smithfield-Selma High	700 Booker Dairy Rd	-	Smithfield	27577
South Johnston High	10381 US Hwy 301 S	-	Four Oaks	27524
West Johnston High	5935 Raleigh Road	-	Benson	27504
Neuse Charter School	909 Booker Dairy Rd	-	Smithfield	27577
Jones Senior High	1490 Hwy 58 South	-	Trenton	28585
Bragg Street Academy	504 Bragg Street	-	Sanford	27330
Floyd L Knight Children Center	607 W McIntosh St	-	Sanford	27330
Lee Early College	1105 Kelly Drive	-	Sanford	27330
Lee County High	1708 Nash Street	-	Sanford	27330
Southern Lee High School	2301 Tramway Road	-	Sanford	27332
Kinston High	2601 N Queen St	-	Kinston	28501
Lenoir County Early College High	231 Hwy 58 South	-	Kinston	28502
Lenoir County Learning Academy	2529 Cedar Dell Lane	Haigler-Overcash Education Center	Kinston	28504
North Lenoir High	2400 Institute Road	-	La Grange	28551
South Lenoir High	3355 Old Hwy 11 South	-	Deep Run	28525
Asbury Academy	221 Salem Church Road	-	Lincolnton	28092
East Lincoln High	6471 Hwy 73	-	Denver	28037
Lincolnton High	803 N Aspen St	-	Lincolnton	28092
North Lincoln High	2737 Lee Lawing Road	-	Lincolnton	28092
West Lincoln High	172 Shoal Rd	-	Lincolnton	28092
Lincoln Charter School	7834 Galway Lane	-	Denver	28037
Franklin High	100 Panther Drive	-	Franklin	28734
Highlands School	545 Pierson Dr	-	Highlands	28741
Macon Early College High School	77 Siler Farm Road	-	Franklin	28734
Nantahala School	213 Windingstairs Rd	-	Topton	28781
Union Academy	158 Union School Rd	-	Franklin	28734
Madison Early College High	5734 US 25/70 Hwy	-	Marshall	28753
Madison High School	5740 US Hwy 25-70	-	Marshall	28753
South Creek Middle/High	21077 NC Hwy 903	-	Robersonville	27871
Riverside High	1260 Godwin Ave	-	Williamston	27892
Bear Grass Charter School	6344 E Bear Grass Rd	-	Williamston	27982
McDowell Academy for Innovation	172 Lukin St	-	Marion	28752
McDowell Early College	54 College Drive	-	Marion	28752
McDowell High School	600 McDowell High School Dr	-	Marion	28752
Ardrey Kell High	10220 Ardrey Kell Rd	-	Charlotte	28277
William Amos Hough High	12420 Bailey Rd	-	Cornelius	28031
Cato Middle College High	8120 Grier Rd   Suite 171-B	-	Charlotte	28215
Cochrane Collegiate Academy	6200 Starhaven Dr	-	Charlotte	28215
Butler High	1810 Matthews-Mint Hill Rd	-	Matthews	28105
Military and Global Leadership Academy	1411 Hawthorne Lane, Ste A	-	Charlotte	28205
East Mecklenburg High	6800 Monroe Rd	-	Charlotte	28212
Hawthorne Academy of Health Sciences	1411 Hawthorne Ln	-	Charlotte	28205
Garinger High	1100 Eastway Dr  	-	Charlotte	28205
Harper Middle College High	315 W Hebron St	-	Charlotte	28273
Harding University High	2001 Alleghany St	-	Charlotte	28208
Hopewell High	11530 Beatties Ford Rd	-	Huntersville	28078
Independence High	1967 Patriot Dr	-	Charlotte	28227
Turning Point Academy	8701 Moores Chapel Rd	-	Charlotte	28214
Levine Middle College High	2728 Campus Ridge Rd	-	Matthews	28105
Mallard Creek High	3825 Johnston Oehler Rd	-	Charlotte	28269
Metro School	405 S. Davidson St	-	Charlotte	28202
Rocky River High	10505 Clear Creek Commerce Dr	-	Mint Hill	28227
Lincoln Heights Academy	1900 Newcastle St	-	Charlotte	28216
Myers Park High	2400 Colony Rd	-	Charlotte	28209
North Mecklenburg High	11201 Old Statesville Rd	-	Huntersville	28078
Northwest School of the Arts	1415 Beatties Ford Rd	-	Charlotte	28216
Olympic High	4301 Sandy Porter Rd	-	Charlotte	28273
Phillip O Berry Academy of Technology	1430 Alleghany St	-	Charlotte	28208
Performance Learning Center	2300 W Sugar Creek Road	-	Charlotte	28262
Providence High	1800 Pineville-Matthews Rd	-	Charlotte	28270
South Mecklenburg High	8900 Park Rd	-	Charlotte	28210
Charlotte Engineering Early College-UNCC	9000 Robert Snyder Rd	-	Charlotte	28262
West Charlotte High	2219 Senior Dr	-	Charlotte	28216
West Mecklenburg High	7400 Tuckaseegee Rd	-	Charlotte	28214
Vance High	7600 IBM Dr	-	Charlotte	28262
Merancas Middle College High	11930 Verhoeff Dr	-	Huntersville	28078
Sugar Creek Charter	4101 N Tryon Street	-	Charlotte	28206
Lake Norman Charter	12435 Old Statesville Road	-	Huntersville	28078
Queen's Grant Community School	6400 Matthews Mint Hill Road	-	Mint Hill	28227
Community School of Davidson	404 Armour Street	-	Davidson	28036
Charlotte Secondary	8601 McAlpine Park Dr	-	Charlotte	28211
Bradford Preparatory School	2502 Salome Church Rd	-	Charlotte	28262
Commonwealth High	5112 Central Ave	-	Charlotte	28205
Charlotte Learning Academy	800 Briar Creek Rd. 	DD400	Charlotte	28205
Mayland Early College	264 Mayland Dr	-	Spruce Pine	28777
Mitchell High	416 Ledger School Rd	-	Bakersville	28705
Stewart Creek High	2701 Freedom Dr	F	Charlotte	28208
Montgomery Learning Academy	310 S Main	-	Troy	27371
East Montgomery High	157 Eagle Lane	-	Biscoe	27209
West Montgomery High	147 Warrior Drive	-	Mount Gilead	27306
The Community Learning Center @ Pinckney	160 Pinckney Road	-	Carthage	28327
North Moore High	1504 North Moore Rd	-	Robbins	27325
Pinecrest High	250 Voit Gilmore Lane	-	Southern Pines	28387
Union Pines High	1981 Union Church Rd	-	Cameron	28326
Tar River Academy	224 S. Pearl Street	-	Rocky Mount	27804
Nash Central High	4279 Nash Central High Road	-	Rocky Mount	27804
NRM Early College High School	530 North Old Carriage Road	-	Rocky Mount	27804
Northern Nash High	4230 Green Hills Road	-	Rocky Mount	27804
Rocky Mount High	1400 Bethlehem Road	-	Rocky Mount	27803
Southern Nash High	6446 Southern Nash High Road	-	Bailey	27807
Rocky Mount Preparatory	3334 Bishop Road	-	Rocky Mount	27804
Emsley A Laney High	2700 N College Rd	-	Wilmington	28405
Eugene Ashley High	555 Halyburton Memorial Parkwy	-	Wilmington	28412
Isaac M Bear Early College High School	630 MacMillan Avenue	-	Wilmington	28403
John T Hoggard High	4305 Shipyard Blvd	-	Wilmington	28403
New Hanover High	1307 Market St	-	Wilmington	28401
J. C. Roe Center	2875 Worth Drive	-	Wilmington	28412
Career Readiness Academy at Mosley PLC	3702 Princess Place Drive	-	Wilmington	28405
Wilmington Early College High	4500 Blue Clay Rd 	WECHS Bldg.ND122	Castle Hayne	28429
Northampton County High School	152 Hurricane Drive	-	Gaston	27832
Northampton Early College	100 College Dr.	-	Weldon	27890
